PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
A.C. Green,MIA,37,82,50,32,17.2,4.5,1.8,4.0,44.4,0.0,0.1,0.0,1.0,1.4,71.2,1.3,2.5,3.8,0.5,0.5,0.4,0.1,1.5,10.6,3,0,1.3
A.J. Guyton,CHI,23,33,6,27,19.0,6.0,2.4,5.8,40.6,0.8,2.1,39.1,0.5,0.5,83.3,0.3,0.8,1.1,1.9,0.7,0.3,0.2,1.1,10.8,0,0,-4.4
Aaron McKie,PHI,28,76,51,25,31.5,11.6,4.4,9.4,47.3,0.7,2.2,31.2,2.0,2.6,76.8,0.4,3.7,4.1,5.0,2.7,1.4,0.1,2.3,25.7,8,2,4.4
Aaron Williams,NJN,29,82,26,56,28.5,10.2,3.6,7.9,45.7,0.0,0.0,0.0,3.0,3.8,78.7,2.6,4.6,7.2,1.1,1.6,0.7,1.4,3.9,25.1,12,0,-4.6
Adam Keefe,GSW,31,67,14,53,12.6,2.5,1.0,2.4,40.3,0.0,0.0,33.3,0.6,0.9,61.9,1.3,1.8,3.1,0.5,0.6,0.4,0.3,1.5,8.6,0,0,-2.6
Adonal Foyle,GSW,26,58,8,50,25.2,5.9,2.7,6.5,41.6,0.0,0.0,0.0,0.5,1.2,44.1,2.7,4.3,7.0,0.8,1.4,0.5,2.7,2.3,23.8,7,0,-5.4
Adrian Griffin,BOS,26,44,16,28,8.5,2.1,0.8,2.2,34.0,0.2,0.6,34.6,0.4,0.5,75.0,0.6,1.4,2.0,0.6,0.4,0.4,0.1,1.0,6.6,0,0,-0.9
Al Harrington,IND,21,78,39,39,24.3,7.5,3.1,7.0,44.4,0.0,0.1,14.3,1.3,2.0,65.6,1.5,3.4,4.9,1.7,1.9,0.8,0.2,2.9,17.1,8,0,-0.3
Alan Henderson,ATL,28,73,20,53,24.8,10.5,4.1,9.2,44.4,0.0,0.0,0.0,2.4,3.7,63.8,2.5,3.1,5.6,0.7,1.7,0.7,0.4,2.2,19.8,11,0,-3.6
Allan Houston,NYK,30,78,45,33,36.6,18.7,6.9,15.5,44.9,1.2,3.2,38.1,3.6,3.9,90.9,0.3,3.4,3.6,2.2,2.1,0.7,0.1,2.4,26.7,0,0,1.5
Allen Iverson,PHI,26,71,50,21,41.9,31.1,10.7,25.5,42.0,1.4,4.3,32.0,8.2,10.1,81.4,0.7,3.1,3.8,4.6,3.3,2.5,0.3,2.1,47.6,4,0,5.2
Alonzo Mourning,MIA,31,13,8,5,23.5,13.6,5.6,10.8,51.8,0.0,0.1,0.0,2.4,4.2,56.4,2.7,5.1,7.8,0.9,2.2,0.3,2.4,1.8,30.2,2,0,2.2
Alvin Williams,TOR,26,82,47,35,29.2,9.8,4.0,9.4,43.0,0.4,1.3,30.6,1.3,1.8,75.2,0.6,2.0,2.6,5.0,1.3,1.5,0.3,2.1,24.5,8,1,1.9
Andre Miller,CLE,25,82,30,52,34.7,15.8,5.5,12.2,45.2,0.2,0.8,26.6,4.6,5.5,83.3,1.1,3.2,4.4,8.0,3.2,1.5,0.3,2.8,35.2,22,0,-0.7
Andrew DeClercq,ORL,28,67,37,30,13.4,3.9,1.6,2.9,55.4,0.0,0.0,0.0,0.7,1.2,57.3,1.4,2.2,3.5,0.5,0.8,0.6,0.5,3.0,11.4,0,0,1.7
Andy Panko,ATL,23,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Anfernee Hardaway,PHX,29,4,2,2,27.6,9.8,3.8,9.0,41.7,0.5,2.0,25.0,1.8,2.8,63.6,1.3,3.3,4.5,3.8,0.8,1.5,0.3,1.5,25.3,0,0,-1.8
Antawn Jamison,GSW,25,82,17,65,41.4,24.9,9.8,22.1,44.2,0.8,2.5,30.2,4.7,6.5,71.5,3.4,5.3,8.7,2.0,2.4,1.4,0.3,2.7,41.2,33,0,-6.8
Anthony Carter,MIA,26,72,43,29,22.7,6.4,2.7,6.7,40.6,0.1,0.6,15.0,0.9,1.4,63.1,0.6,1.9,2.5,3.7,1.7,1.0,0.1,2.1,16.8,0,0,0.8
Anthony Goldwire,DEN,29,20,8,12,10.0,4.1,1.5,4.0,37.5,0.5,1.7,26.5,0.7,0.9,76.5,0.1,0.6,0.6,1.7,0.8,0.5,0.0,0.7,8.0,0,0,-1.0
Anthony Johnson,CLE,26,53,16,37,9.6,2.5,1.0,2.9,34.9,0.0,0.1,20.0,0.4,0.6,69.7,0.2,0.6,0.8,1.5,0.6,0.4,0.1,1.2,6.7,0,0,-2.0
Anthony Mason,MIA,34,80,49,31,40.7,16.1,5.8,11.9,48.2,0.0,0.0,0.0,4.6,5.9,78.1,2.1,7.5,9.6,3.1,2.2,1.0,0.3,2.9,34.0,36,0,1.4
Anthony Miller,PHI,29,4,1,3,2.9,0.5,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.3,0.9,0,0,-1.8
Anthony Peeler,MIN,31,75,42,33,28.3,10.5,4.1,9.8,42.1,1.3,3.4,39.1,1.0,1.2,86.2,0.6,2.0,2.6,2.6,1.4,1.2,0.2,2.2,20.4,1,0,1.1
Antoine Walker,BOS,24,81,35,46,41.9,23.4,8.8,21.2,41.3,2.7,7.4,36.7,3.1,4.3,71.6,1.9,7.0,8.9,5.5,3.7,1.7,0.6,3.1,45.5,38,5,-1.5
Antonio Daniels,SAS,26,79,55,24,26.1,9.4,3.5,7.4,46.8,0.9,2.3,40.4,1.5,2.0,77.6,0.3,1.7,2.1,3.8,1.4,0.8,0.2,1.5,19.1,2,0,2.0
Antonio Davis,TOR,32,78,46,32,35.0,13.7,4.8,11.1,43.3,0.0,0.0,0.0,4.1,5.4,75.4,3.5,6.6,10.1,1.4,1.7,0.3,1.9,2.9,32.8,37,0,3.2
Antonio Harvey,POR,30,12,6,6,6.0,2.6,1.1,2.3,46.4,0.0,0.0,0.0,0.4,0.5,83.3,0.4,0.8,1.2,0.3,0.3,0.1,0.5,0.8,6.0,0,0,-2.1
Antonio McDyess,DEN,26,70,34,36,36.5,20.8,8.2,16.6,49.5,0.0,0.0,0.0,4.3,6.2,70.0,3.4,8.6,12.1,2.1,2.3,0.6,1.5,3.1,42.3,51,0,0.1
Art Long,SAC,28,9,8,1,2.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.7,0.9,0.1,0.2,0.0,0.3,0.6,2.0,0,0,-1.2
Arvydas Sabonis,POR,36,61,37,24,21.2,10.1,4.0,8.5,47.9,0.0,0.2,6.7,2.0,2.6,77.6,0.8,4.6,5.4,1.5,1.4,0.7,1.0,2.2,22.5,3,0,4.0
Austin Croshere,IND,26,81,40,41,23.1,10.1,3.4,8.7,39.4,0.9,2.6,33.8,2.5,2.9,86.6,1.5,3.3,4.8,1.1,1.7,0.4,0.6,2.2,19.1,8,0,0.4
Avery Johnson,SAS,36,55,40,15,23.4,5.6,2.4,5.5,44.7,0.0,0.1,16.7,0.7,1.1,68.3,0.4,1.2,1.5,4.3,1.1,0.6,0.1,1.6,14.9,0,0,3.2
Baron Davis,CHH,22,82,46,36,38.9,13.8,5.0,11.7,42.7,1.0,3.3,31.0,2.8,4.1,67.7,1.6,3.4,5.0,7.3,2.8,2.1,0.4,3.3,35.5,11,2,3.3
Ben Wallace,DET,26,80,32,48,34.5,6.4,2.7,5.5,49.1,0.0,0.1,25.0,1.0,3.0,33.6,3.8,9.4,13.2,1.5,1.5,1.3,2.3,2.4,34.0,12,0,0.5
Bill Curley,GSW,29,20,7,13,9.6,3.2,1.3,2.4,53.2,0.1,0.1,50.0,0.6,1.0,63.2,1.1,0.8,1.9,0.2,0.8,0.4,0.5,2.3,7.2,0,0,-1.8
Billy Owens,DET,32,45,15,30,17.7,4.4,2.0,5.1,38.3,0.1,0.4,15.0,0.4,0.9,47.5,1.9,2.7,4.6,1.2,0.9,0.7,0.3,2.1,13.8,1,0,-0.4
Bimbo Coles,CLE,33,47,17,30,17.1,4.9,1.9,5.1,38.1,0.0,0.3,12.5,1.0,1.2,85.7,0.2,0.8,1.0,2.9,1.3,0.6,0.1,1.9,11.4,0,0,-3.8
Bo Outlaw,ORL,30,80,41,39,31.7,7.3,2.8,4.6,61.4,0.0,0.0,50.0,1.6,2.8,57.3,2.6,5.1,7.7,2.8,1.8,1.3,1.7,3.0,28.1,11,0,1.7
Bob Sura,GSW,28,53,14,39,31.7,11.1,3.8,9.8,39.0,0.9,3.2,27.3,2.5,3.6,71.4,1.0,3.3,4.3,4.6,3.0,1.0,0.2,2.4,23.5,1,0,-6.9
Bobby Jackson,SAC,28,79,54,25,20.9,7.2,2.9,6.7,43.9,0.5,1.3,37.5,0.8,1.1,73.9,0.9,2.2,3.1,2.0,1.3,1.1,0.1,1.8,16.2,0,0,2.8
Bonzi Wells,POR,24,75,47,28,26.6,12.6,5.2,9.7,53.3,0.2,0.7,34.0,2.1,3.2,66.0,1.6,3.3,4.9,2.8,2.3,1.3,0.3,2.7,25.0,5,0,2.1
Brad Miller,CHI,25,57,10,47,25.2,8.9,2.9,6.8,43.5,0.0,0.1,20.0,2.9,4.0,74.3,2.5,4.8,7.4,1.9,1.3,0.6,0.7,3.1,23.0,9,0,-3.9
Brent Barry,SEA,29,67,39,28,26.6,8.8,3.0,6.0,49.4,1.6,3.4,47.6,1.3,1.5,81.6,0.5,2.7,3.1,3.4,1.3,1.2,0.2,1.9,20.5,2,0,1.4
Brent Price,VAN,32,6,0,6,5.0,2.2,0.5,1.8,27.3,0.2,0.7,25.0,1.0,1.2,85.7,0.2,0.5,0.7,0.8,0.7,0.3,0.0,1.3,4.6,0,0,-1.5
Brevin Knight,ATL,25,53,14,39,27.6,6.3,2.6,7.0,37.5,0.0,0.2,10.0,1.0,1.2,81.8,0.4,2.7,3.2,5.9,1.7,1.9,0.1,2.9,23.1,2,0,-4.6
Brian Cardinal,DET,24,15,5,10,8.3,2.1,0.7,2.1,32.3,0.0,0.3,0.0,0.7,1.2,61.1,0.5,1.0,1.5,0.2,0.6,0.5,0.1,1.8,5.4,0,0,-2.3
Brian Grant,MIA,29,82,50,32,33.8,15.2,5.9,12.3,47.9,0.0,0.0,0.0,3.4,4.3,79.7,2.6,6.1,8.8,1.2,2.1,0.7,0.9,3.6,30.3,31,0,1.8
Brian Shaw,LAL,35,80,55,25,22.9,5.3,2.1,5.1,39.9,0.5,1.7,31.1,0.6,0.8,79.7,0.6,3.2,3.8,3.2,1.2,0.6,0.3,2.0,16.3,2,0,0.8
Brian Skinner,LAC,25,39,16,23,14.9,4.1,1.6,4.1,39.8,0.0,0.0,0.0,0.8,1.5,54.2,1.4,2.9,4.3,0.5,0.8,0.4,0.3,1.6,11.1,1,0,-2.4
Bruce Bowen,MIA,30,82,50,32,32.8,7.6,2.6,7.1,36.3,1.3,3.7,33.6,1.2,2.0,60.9,0.5,2.4,3.0,1.6,0.9,1.0,0.6,3.3,17.7,0,0,1.5
Bruno Sundov,IND,21,11,2,9,11.1,3.9,1.8,3.7,48.8,0.0,0.4,0.0,0.3,0.5,60.0,0.4,1.7,2.1,0.2,0.3,0.2,0.4,1.9,8.1,0,0,-3.1
Bryant Reeves,VAN,28,75,19,56,24.4,8.3,3.4,7.4,46.0,0.0,0.1,25.0,1.5,1.9,79.6,1.8,4.3,6.0,1.1,1.2,0.6,0.7,3.2,19.8,8,0,-2.6
Bryant Stith,BOS,30,78,35,43,32.1,9.7,3.1,7.8,40.1,1.2,3.1,37.6,2.2,2.7,84.5,0.8,2.8,3.6,2.2,1.2,1.2,0.2,2.3,20.3,0,0,-1.6
Bryce Drew,CHI,26,48,9,39,27.2,6.3,2.6,6.8,37.9,0.8,2.2,38.1,0.3,0.4,73.7,0.3,1.2,1.4,3.9,1.4,0.7,0.1,2.1,14.6,1,0,-3.4
Bryon Russell,UTA,30,78,50,28,31.7,12.0,3.9,9.0,44.0,1.2,2.9,41.3,2.8,3.7,77.9,1.2,3.0,4.2,2.1,1.4,1.2,0.3,2.9,23.1,0,0,3.6
Cal Bowdler,ATL,24,44,15,29,8.5,3.2,1.2,2.6,46.5,0.0,0.1,20.0,0.8,0.9,82.5,0.7,1.1,1.8,0.1,0.3,0.2,0.5,1.0,7.3,0,0,1.0
Calbert Cheaney,DEN,29,9,5,4,16.9,2.3,1.1,3.3,33.3,0.0,0.0,0.0,0.1,0.2,50.0,0.6,1.7,2.2,1.0,0.6,0.4,0.2,1.6,7.9,0,0,3.7
Calvin Booth,DAL,25,55,19,36,16.9,5.3,2.2,4.6,47.6,0.0,0.0,0.0,1.0,1.4,67.9,1.4,3.1,4.5,0.8,1.0,0.5,2.0,2.7,18.5,1,0,-2.6
Carlos Rogers,HOU,30,39,21,18,14.0,4.6,1.9,2.8,68.2,0.0,0.0,0.0,0.7,1.3,55.8,1.2,2.3,3.6,0.2,0.4,0.3,0.5,0.8,10.9,2,0,0.9
Cedric Ceballos,MIA,31,40,22,18,13.9,6.5,2.5,5.7,44.1,0.6,1.8,30.1,0.9,1.1,86.0,0.9,1.8,2.7,0.5,0.8,0.4,0.2,1.5,11.4,3,0,-0.7
Cedric Henderson,CLE,26,55,19,36,17.5,4.3,1.9,4.8,38.9,0.0,0.1,12.5,0.5,0.8,65.2,0.3,1.3,1.6,1.4,1.1,0.5,0.4,1.8,10.1,0,0,-2.4
Charles Oakley,TOR,37,78,45,33,35.5,9.6,3.9,10.1,38.8,0.1,0.6,22.4,1.6,1.9,83.6,1.8,7.7,9.5,3.4,1.8,1.0,0.6,3.3,29.1,25,1,3.1
Charlie Ward,NYK,30,61,35,26,24.5,7.1,2.5,6.1,41.6,1.1,2.9,38.3,0.9,1.1,80.0,0.5,2.1,2.6,4.5,1.8,1.1,0.2,2.2,19.0,1,0,2.9
Chauncey Billups,MIN,24,77,42,35,23.3,9.3,3.2,7.6,42.2,0.9,2.5,37.6,1.9,2.2,84.2,0.4,1.6,2.1,3.4,1.4,0.7,0.1,2.3,17.8,1,0,0.4
Cherokee Parks,LAC,28,65,23,42,16.2,4.6,2.1,4.2,48.9,0.0,0.1,0.0,0.5,0.7,70.5,1.1,2.4,3.5,0.7,0.6,0.4,0.6,1.9,12.1,2,0,-1.6
Chris Carr,BOS,27,35,14,21,8.8,4.8,1.5,3.2,47.3,0.5,1.1,45.9,1.3,1.7,76.7,0.3,0.9,1.3,0.3,0.5,0.1,0.1,1.3,6.9,0,0,-1.7
Chris Childs,TOR,33,77,47,30,24.1,4.7,1.8,4.4,40.3,0.4,1.4,30.2,0.8,0.9,84.5,0.3,2.3,2.6,4.6,2.0,0.8,0.2,3.1,15.6,0,0,0.5
Chris Crawford,ATL,26,47,11,36,19.2,6.8,2.6,5.7,45.2,0.1,0.5,27.3,1.4,1.8,81.9,0.6,1.7,2.3,0.8,1.3,0.4,0.3,2.5,11.8,0,0,-2.9
Chris Dudley,PHX,36,53,34,19,11.5,1.4,0.5,1.4,39.7,0.0,0.0,0.0,0.3,0.7,38.9,1.2,2.2,3.5,0.3,0.5,0.3,0.5,2.1,8.0,0,0,0.7
Chris Garner,GSW,26,8,0,8,18.6,2.4,0.9,4.6,18.9,0.0,0.9,0.0,0.6,0.8,83.3,0.3,1.3,1.5,2.3,1.1,0.9,0.1,2.3,9.4,0,0,-1.9
Chris Gatling,CLE,33,74,28,46,22.6,11.4,4.4,9.9,44.9,0.4,1.2,30.4,2.1,3.1,68.4,1.3,3.9,5.3,0.8,1.6,0.7,0.4,2.5,20.6,4,0,-2.6
Chris Herren,BOS,25,25,9,16,16.3,3.3,1.2,3.8,30.2,0.6,2.2,29.1,0.4,0.5,75.0,0.2,0.7,0.8,2.2,0.8,0.6,0.0,1.7,8.6,0,0,0.0
Chris Mihm,CLE,21,59,19,40,19.7,7.6,2.9,6.6,44.2,0.0,0.0,0.0,1.7,2.1,79.4,1.8,2.9,4.7,0.3,1.4,0.3,0.9,2.6,16.0,5,0,-1.3
Chris Mills,GSW,31,15,5,10,32.9,12.0,4.7,12.7,37.2,0.5,1.7,28.0,2.1,2.4,86.1,1.6,4.6,6.2,1.2,1.3,0.6,0.3,2.9,22.7,1,0,-2.5
Chris Mullin,GSW,37,20,5,15,18.6,5.8,1.8,5.3,34.0,1.0,2.6,36.5,1.2,1.4,85.7,0.5,1.6,2.1,1.0,1.0,0.8,0.5,1.4,12.6,0,0,-3.5
Chris Porter,GSW,23,51,9,42,22.5,8.6,3.4,8.7,38.9,0.0,0.1,0.0,1.8,2.8,66.7,1.7,2.0,3.7,1.2,1.2,0.9,0.1,2.2,16.7,2,0,-5.5
Chris Webber,SAC,28,70,48,22,40.5,27.1,11.2,23.4,48.1,0.0,0.4,7.1,4.6,6.6,70.3,2.6,8.5,11.1,4.2,2.8,1.3,1.7,3.2,53.0,50,1,5.3
Chris Whitney,WAS,29,59,12,47,26.0,9.5,3.1,8.0,38.7,1.6,4.2,37.5,1.7,1.9,89.4,0.2,1.6,1.8,4.2,1.7,0.9,0.1,2.5,19.1,4,0,-4.3
Christian Laettner,WAS,31,78,38,40,21.3,9.3,3.6,7.1,50.3,0.1,0.2,30.8,2.2,2.6,83.3,1.5,3.2,4.7,1.6,1.8,0.9,0.6,3.1,20.1,5,0,-0.9
Chucky Atkins,DET,26,81,31,50,29.2,12.0,4.7,11.8,39.9,1.5,4.2,35.7,1.1,1.6,69.2,0.3,1.8,2.1,4.1,1.8,0.8,0.1,2.3,21.5,2,0,-0.7
Chucky Brown,CLE,33,26,5,21,13.1,3.9,1.5,3.7,42.1,0.0,0.1,0.0,0.8,1.3,64.7,0.3,1.8,2.1,0.4,0.3,0.3,0.3,1.4,8.6,0,0,-1.4
Clar. Weatherspoon,CLE,30,82,30,52,33.9,11.3,4.2,8.4,50.1,0.0,0.0,0.0,2.8,3.5,79.0,2.7,7.0,9.7,1.3,1.4,1.0,1.3,2.1,30.4,25,0,-3.3
Clifford Robinson,PHX,34,82,51,31,33.6,16.4,6.1,14.5,42.2,1.1,3.0,36.1,3.1,4.4,70.9,1.3,2.8,4.1,2.9,2.3,1.1,1.0,3.1,29.5,0,0,1.6
Corey Benjamin,CHI,23,65,9,56,13.2,4.7,1.8,4.6,38.1,0.3,1.2,25.9,0.9,1.3,67.5,0.6,1.0,1.5,1.1,1.0,0.4,0.2,2.0,9.2,0,0,-3.0
Corey Maggette,LAC,21,69,27,42,19.7,10.0,3.3,7.1,46.2,0.2,0.8,30.4,3.2,4.2,77.4,1.3,2.9,4.2,1.2,1.5,0.5,0.1,2.0,17.2,4,0,-1.3
Corie Blount,GSW,32,68,20,48,19.2,4.6,1.9,4.3,44.2,0.0,0.1,25.0,0.8,1.2,61.4,2.7,3.2,5.9,0.9,1.1,0.6,0.3,2.4,14.7,7,0,-4.3
Corliss Williamson,DET,27,69,32,37,24.4,11.6,4.7,9.4,50.2,0.0,0.0,0.0,2.2,3.4,63.7,1.6,3.1,4.7,0.9,1.6,0.7,0.3,2.7,20.0,4,0,1.4
Cory Alexander,ORL,28,26,17,9,8.6,2.0,0.7,2.2,32.1,0.2,0.6,25.0,0.5,0.7,66.7,0.0,1.0,1.0,1.4,1.0,0.6,0.0,1.1,6.1,0,0,-1.7
Courtney Alexander,WAS,24,65,29,36,21.1,9.5,3.7,8.8,41.7,0.3,0.7,37.0,1.9,2.3,82.0,0.6,1.6,2.2,1.0,1.2,0.7,0.1,2.1,14.7,0,0,-4.4
Cuttino Mobley,HOU,25,79,44,35,38.1,19.5,6.7,15.4,43.4,1.1,3.2,35.7,5.0,6.0,83.1,1.1,4.0,5.0,2.5,2.1,1.1,0.3,2.1,31.3,8,0,3.4
Dale Davis,POR,32,81,49,32,26.7,7.2,3.0,6.0,49.7,0.0,0.0,0.0,1.2,1.9,63.2,2.9,4.6,7.5,1.3,0.8,0.5,0.9,2.5,21.6,13,0,2.0
Dalibor Bagaric,CHI,20,35,9,26,7.4,1.3,0.5,1.9,26.2,0.0,0.0,0.0,0.4,0.8,46.4,0.6,1.0,1.6,0.3,0.6,0.3,0.5,1.3,5.2,0,0,-1.6
Damon Jones,VAN,24,71,16,55,19.9,6.5,2.4,5.9,40.9,1.2,3.3,36.4,0.5,0.7,71.2,0.2,1.5,1.7,3.2,1.1,0.5,0.0,0.8,13.8,1,0,-3.1
Damon Stoudamire,POR,27,82,50,32,32.4,13.0,5.0,11.4,43.4,1.0,2.7,37.4,2.1,2.5,83.1,0.8,2.9,3.7,5.7,2.3,1.3,0.1,2.5,27.8,4,1,4.6
Dan Langhi,HOU,23,33,17,16,7.3,2.7,1.1,3.0,37.4,0.0,0.0,0.0,0.5,0.9,55.2,0.4,0.8,1.2,0.1,0.2,0.2,0.0,0.5,4.9,0,0,-1.2
Dan Majerle,MIA,35,53,35,18,24.6,5.0,1.6,4.9,33.6,1.1,3.4,31.5,0.7,0.8,81.8,0.4,2.8,3.1,1.7,0.7,1.0,0.3,1.8,14.5,0,0,2.1
Dan McClintock,DEN,24,6,3,3,9.7,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.8,0.0,1.7,1.2,2.8,0.2,0.5,0.0,0.3,1.8,7.2,0,0,-4.5
Dana Barros,DET,34,60,24,36,18.0,8.0,3.1,6.9,44.4,0.7,1.8,41.9,1.1,1.3,85.0,0.1,1.5,1.6,1.8,1.0,0.5,0.0,1.1,13.2,0,0,-1.1
Daniel Santiago,PHX,25,54,34,20,10.7,3.1,1.2,2.5,47.8,0.0,0.0,0.0,0.8,1.1,68.9,0.6,1.2,1.9,0.2,0.9,0.3,0.4,1.9,7.0,0,0,0.0
Danny Ferry,SAS,34,80,58,22,21.1,5.6,2.2,4.7,47.5,0.9,2.0,44.9,0.3,0.4,73.3,0.7,2.1,2.8,0.9,0.6,0.4,0.3,2.1,11.5,0,0,4.9
Danny Fortson,GSW,25,6,1,5,33.8,16.7,4.8,8.3,58.0,0.0,0.0,0.0,7.0,9.0,77.8,4.8,11.5,16.3,0.8,1.7,0.3,0.0,3.7,36.9,6,0,-5.3
Danny Manning,UTA,35,82,53,29,15.9,7.4,3.0,6.1,49.4,0.1,0.3,25.0,1.2,1.7,72.9,0.8,1.8,2.6,1.1,1.2,0.6,0.4,2.7,13.8,0,0,1.6
Darius Miles,LAC,19,81,30,51,26.4,9.4,3.9,7.8,50.5,0.0,0.2,5.3,1.5,2.9,52.1,1.6,4.3,5.9,1.2,1.8,0.6,1.5,2.4,23.0,9,0,0.4
Darrell Armstrong,ORL,33,75,40,35,37.0,15.9,5.5,13.4,41.2,1.9,5.4,35.5,2.9,3.3,88.4,1.3,3.3,4.6,7.0,2.7,1.8,0.2,2.1,35.1,16,0,2.8
Darrick Martin,SAC,30,31,23,8,5.6,3.3,0.9,2.5,38.2,0.5,0.9,51.9,1.0,1.1,88.6,0.1,0.5,0.5,0.5,0.3,0.2,0.0,0.9,5.0,0,0,0.0
Darvin Ham,MIL,27,29,18,11,18.7,3.8,1.3,2.8,48.8,0.1,0.1,66.7,1.0,1.7,59.2,1.9,2.2,4.2,0.9,1.1,0.6,0.7,2.9,12.9,1,0,-1.7
David Benoit,UTA,33,49,31,18,9.1,3.6,1.4,3.0,48.3,0.1,0.3,38.5,0.6,0.8,79.5,0.4,1.2,1.7,0.4,0.6,0.1,0.1,1.5,6.5,0,0,-0.3
David Robinson,SAS,35,80,57,23,29.6,14.4,5.0,10.3,48.6,0.0,0.0,0.0,4.4,5.9,74.7,2.6,6.0,8.6,1.5,1.5,1.0,2.5,2.7,35.8,22,0,7.0
David Vanterpool,WAS,28,22,6,16,18.6,5.5,2.1,5.0,41.8,0.0,0.3,0.0,1.4,2.3,60.0,0.7,1.0,1.7,3.0,1.7,1.0,0.1,2.0,13.9,0,0,-0.1
David Wesley,CHH,30,82,46,36,37.9,17.2,6.4,15.1,42.2,1.2,3.1,37.6,3.3,4.1,79.9,0.8,2.0,2.7,4.4,2.1,1.6,0.2,2.7,30.3,1,0,1.4
David Wingate,SEA,37,1,1,0,9.0,6.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0,0,12.0
DeShawn Stevenson,UTA,20,40,27,13,7.4,2.2,0.8,2.3,34.1,0.0,0.3,8.3,0.7,1.0,68.4,0.2,0.5,0.7,0.5,0.7,0.3,0.1,0.7,3.9,0,0,0.1
Dean Garrett,MIN,34,70,41,29,11.9,2.5,1.1,2.2,48.1,0.0,0.0,0.0,0.4,0.6,69.2,0.9,2.2,3.1,0.3,0.4,0.4,0.7,1.3,9.6,0,0,-1.3
Dee Brown,ORL,32,7,2,5,22.3,6.9,2.3,6.3,36.4,1.7,4.6,37.5,0.6,0.7,80.0,0.0,1.6,1.6,1.7,1.0,0.6,0.0,1.4,12.0,0,0,-3.9
Dell Curry,TOR,37,71,38,33,13.5,6.0,2.3,5.4,42.4,0.9,2.0,42.8,0.6,0.7,84.3,0.2,1.0,1.2,1.1,0.5,0.4,0.1,0.9,10.0,0,0,-0.6
DerMarr Johnson,ATL,21,78,23,55,16.8,5.1,1.9,5.0,37.4,0.5,1.6,32.3,0.8,1.1,73.6,0.7,1.6,2.3,0.8,1.2,0.6,0.4,1.7,10.7,0,0,-2.1
Derek Anderson,SAS,26,82,58,24,34.9,15.5,5.0,12.1,41.6,1.2,3.1,39.9,4.2,4.9,85.1,0.9,3.5,4.4,3.7,2.0,1.5,0.2,2.3,29.2,3,0,8.3
Derek Fisher,LAL,26,20,15,5,35.5,11.5,3.9,9.4,41.2,1.3,3.2,39.7,2.5,3.1,80.6,0.3,2.7,3.0,4.4,1.5,2.0,0.1,2.5,26.2,0,0,8.6
Derek Strong,LAC,33,28,11,17,17.6,4.2,1.6,4.2,38.5,0.0,0.0,0.0,1.0,1.3,75.7,1.2,2.6,3.9,0.3,0.8,0.5,0.0,1.1,10.0,0,0,-1.0
Derrick Coleman,CHH,34,34,12,22,20.1,8.1,2.9,7.5,38.0,0.6,1.5,39.2,1.9,2.7,68.5,1.4,4.1,5.4,1.1,1.2,0.3,0.6,1.6,17.9,3,0,-3.2
Derrick Dial,SAS,25,33,27,6,6.2,2.6,1.1,2.5,43.4,0.1,0.3,20.0,0.4,0.6,57.1,0.4,0.8,1.2,0.6,0.4,0.1,0.2,0.7,5.5,0,0,0.5
Derrick McKey,IND,34,66,32,34,14.9,2.2,0.9,2.1,44.1,0.1,0.3,20.0,0.3,0.4,77.8,0.7,1.9,2.7,1.1,0.7,0.7,0.2,2.1,9.1,0,0,-0.9
Desmond Mason,SEA,23,78,41,37,19.5,5.9,2.4,5.6,43.1,0.2,0.9,26.9,0.9,1.2,73.6,0.9,2.3,3.2,0.8,0.7,0.5,0.3,1.9,12.6,0,0,-0.6
Detlef Schrempf,POR,38,26,14,12,15.2,4.0,1.5,3.7,41.1,0.1,0.3,37.5,0.9,1.0,85.2,0.7,2.3,3.0,1.7,1.1,0.3,0.1,1.7,10.2,0,0,-1.3
Devean George,LAL,23,59,43,16,10.0,3.1,1.1,3.5,30.9,0.3,1.2,22.1,0.7,0.9,70.9,0.6,1.3,1.9,0.3,0.6,0.3,0.3,1.5,6.8,0,0,-1.5
Dikembe Mutombo,PHI,35,75,33,42,34.6,10.0,3.6,7.4,48.4,0.0,0.0,0.0,2.8,3.9,72.5,4.1,9.4,13.5,1.0,1.9,0.4,2.7,2.7,35.1,33,0,0.7
